a	indefinite article	 
man	n.	 
many	det./pron.	 
map	n.	 
March	n.	 
market	n.	 
married	adj.	 
match	(contest/correspond) n., v.	 
May	n.	 
maybe	adv.	 
me	pron.	 
meal	n.	 
mean	v.	 
meaning	n.	 
meat	n.	 
meet	v.	 
meeting	n.	 
member	n.	 
menu	n.	 
message	n.	 
metre	n.	 
midnight	n.	 
mile	n.	 
milk	n.	 
million	number	 
minute	n.	 
miss	v.	 
mistake	n.	 
model	n.	 
modern	adj.	 
moment	n.	 
Monday	n.	 
money	n.	 
month	n.	 
more	det./pron., adv.	 
morning	n.	 
most	det./pron., adv.	 
mother	n.	 
mountain	n.	 
mouse	n.	 
mouth	n.	 
move	v.	 
movie	n.	 
much	det./pron., adv.	 
mum	n.	 
museum	n.	 
music	n.	 
must	modal v.	 
my	det.	 
name	n., v.	 
natural	adj.	 
near	prep., adj., adv.	 
need	v.	 
negative	adj.	 
neighbour	n.	 
never	adv.	 
new	adj.	 
news	n.	 
newspaper	n.	 
next	adj., adv.	 
next	to prep.	 
nice	adj.	 
night	n.	 
nine	number	 
nineteen	number	 
ninety	number	 
no	exclam., det.	 
no one	pron.	 
nobody	pron.	 
north	n., adj., adv.	 
nose	n.	 
not	adv.	 
note	n.	 
nothing	pron.	 
November	n.	 
now	adv.	 
number	n.	 
nurse	n.	 
object	n.	 
o’clock	adv.	 
October	n.	 
of	prep.	 
off	adv., prep.	 
office	n.	 
often	adv.	 
oh	exclam.	 
OK	exclam., adj./adv.	 
old	adj.	 
on	prep., adv.	 
once	adv.	 
one	number/det., pron.	 
onion	n.	 
online	adj., adv.	 
only	adj., adv.	 
open	adj., v.	 
opinion	n.	 
opposite	adj., n., prep., adv.	 
or	conj.	 
orange	n., adj.	 
order	n., v.	 
other	adj./pron.	 
our	det.	 
out	adv./prep.	 
outside	adv.	 
over	prep., adv.	 
own	adj./pron.	 
page	n.	 
paint	v., n.	 
painting	n.	 
pair	n.	 
paper	n.	 
paragraph	n.	 
parent	n.	 
park	n., v.	 
part	n.	 
partner	n.	 
party	n.	 
passport	n.	 
past	adj., n., prep.	 
pay	v.	 
pen	n.	 
pencil	n.	 
people	n.	 
pepper	n.	 
perfect	adj.	 
period	n.	 
person	n.	 
personal	adj.	 
phone	n., v.	 
photo	n.	 
photograph	n.	 
phrase	n.	 
piano	n.	 
picture	n.	 
piece	n.	 
pig	n.	 
pink	adj., n.	 
place	n.	 
plan	n., v.	 
plane	n.	 
plant	n.	 
play	v., n.	 
player	n.	 
please	exclam.	 
point	n.	 
police	n.	 
policeman	n.	 
pool	n.	 
poor	adj.	 
popular	adj.	 
positive	adj.	 
possible	adj.	 
post	n., v.	 
potato	n.	 
pound	n.	 
practice	n.	 
practise	v.	 
prefer	v.	 
prepare	v.	 
present	adj., n.	 
pretty	adj., adv.	 
price	n.	 
probably	adv.	 
problem	n.	 
product	n.	 
programme	n.	 
project	n.	 
purple	adj., n.	 
put	v.	 
quarter	n.	 
question	n.	 
quick	adj.	 
quickly	adv.	 
quiet	adj.	 
quite	adv.	 
radio	n.	 
rain	n., v.	 
read	v.	 
reader	n.	 
reading	n.	 
ready	adj.	 
real	adj.	 
really	adv.	 
reason	n.	 
red	adj., n.	 
relax	v.	 
remember	v.	 
repeat	v.	 
report	n.	 
restaurant	n.	 
result	n.	 
return	v., n.	 
rice	n.	 
rich	adj.	 
ride	v.	 
right	adj., adv., n.	 
river	n.	 
road	n.	 
room	n.	 
routine	n.	 
rule	n.	 
run	v.	 
sad	adj.	 
salad	n.	 
salt	n.	 
same	adj., pron., adv.	 
sandwich	n.	 
Saturday	n.	 
say	v.	 
school	n.	 
science	n.	 
scientist	n.	 
sea	n.	 
second (next after the first)	det./number	 
second (unit of time)	n.	 
section	n.	 
see	v.	 
sell	v.	 
send	v.	 
sentence	n.	 
September	n.	 
seven	number	 
seventeen	number	 
seventy	number	 
share	v.	 
she	pron.	 
sheep	n.	 
shirt	n.	 
shoe	n.	 
shop	n., v.	 
shopping	n.	 
short	adj.	 
should	modal v.	 
show	v., n.	 
shower	n.	 
sick	adj.	 
similar	adj.	 
sing	v.	 
singer	n.	 
sister	n.	 
sit	v.	 
situation	n.	 
six	number	 
sixteen	number	 
sixty	number	 
skill	n.	 
skirt	n.	 
